time,ram_usage_GB,ram_utilization_percent,cpu_utilization_percent
2025-08-17_21-45-25,7.87664794921875,49.5,43.7
2025-08-17_21-45-26,7.578224182128906,47.6,80.3
2025-08-17_21-45-27,7.842964172363281,49.3,71.3
2025-08-17_21-45-28,7.843349456787109,49.3,75.8
2025-08-17_21-45-29,7.816677093505859,49.1,67.7
2025-08-17_21-45-30,7.818061828613281,49.1,67.4
2025-08-17_21-45-31,7.956523895263672,50.0,62.5
2025-08-17_21-45-32,8.588390350341797,54.0,29.6
2025-08-17_21-45-33,8.588397979736328,54.0,27.3
2025-08-17_21-45-34,8.639324188232422,54.3,37.7
2025-08-17_21-45-35,8.670658111572266,54.5,61.3
2025-08-17_21-45-36,8.670051574707031,54.5,61.5
2025-08-17_21-45-37,8.624404907226562,54.2,67.3
2025-08-17_21-45-38,8.542858123779297,53.7,73.1
2025-08-17_21-45-39,8.41701889038086,52.9,80.3
2025-08-17_21-45-40,8.25473403930664,51.9,81.3
2025-08-17_21-45-41,8.238410949707031,51.8,63.7
2025-08-17_21-45-42,8.237751007080078,51.8,80.9
2025-08-17_21-45-43,8.238250732421875,51.8,78.2
2025-08-17_21-45-44,8.23775863647461,51.8,81.0
2025-08-17_21-45-45,8.23836898803711,51.8,80.1
2025-08-17_21-45-46,8.238033294677734,51.8,78.0
2025-08-17_21-45-47,8.238109588623047,51.8,75.7
2025-08-17_21-45-48,8.23745346069336,51.8,79.3
2025-08-17_21-45-49,8.237018585205078,51.8,78.6
2025-08-17_21-45-50,8.237323760986328,51.8,79.0
2025-08-17_21-45-51,8.23748779296875,51.8,81.0
2025-08-17_21-45-52,8.241504669189453,51.8,84.3
2025-08-17_21-45-53,8.24099349975586,51.8,83.4
2025-08-17_21-45-54,8.24074935913086,51.8,88.5
2025-08-17_21-45-55,8.240962982177734,51.8,83.7
2025-08-17_21-45-56,8.241409301757812,51.8,82.6
2025-08-17_21-45-57,8.248619079589844,51.8,92.1
2025-08-17_21-45-58,8.25601577758789,51.9,79.9
2025-08-17_21-45-59,8.266654968261719,51.9,77.2
2025-08-17_21-46-00,8.268157958984375,52.0,59.7
2025-08-17_21-46-01,8.265674591064453,51.9,62.8
2025-08-17_21-46-02,8.267730712890625,52.0,79.1
2025-08-17_21-46-03,8.262496948242188,51.9,74.3
2025-08-17_21-46-04,8.26702880859375,52.0,61.4
2025-08-17_21-46-05,8.261127471923828,51.9,78.2
2025-08-17_21-46-06,8.26507568359375,51.9,59.8
2025-08-17_21-46-07,8.264556884765625,51.9,62.5
2025-08-17_21-46-08,8.264701843261719,51.9,59.2
2025-08-17_21-46-09,8.255077362060547,51.9,69.6
2025-08-17_21-46-10,8.257919311523438,51.9,67.6
2025-08-17_21-46-11,8.258586883544922,51.9,59.1
2025-08-17_21-46-12,8.258064270019531,51.9,59.3
2025-08-17_21-46-13,8.255241394042969,51.9,59.6
2025-08-17_21-46-14,8.254966735839844,51.9,62.3
2025-08-17_21-46-15,8.251289367675781,51.9,64.1
2025-08-17_21-46-16,8.250469207763672,51.8,60.8
2025-08-17_21-46-17,8.249168395996094,51.8,60.0
2025-08-17_21-46-18,8.248703002929688,51.8,72.4
2025-08-17_21-46-19,8.250312805175781,51.8,71.1
2025-08-17_21-46-20,8.253093719482422,51.9,71.3
2025-08-17_21-46-21,8.242687225341797,51.8,65.1
2025-08-17_21-46-22,8.211002349853516,51.6,72.6
2025-08-17_21-46-23,8.215473175048828,51.6,63.2
2025-08-17_21-46-24,8.214710235595703,51.6,62.9
2025-08-17_21-46-25,8.213645935058594,51.6,63.2
2025-08-17_21-46-26,8.21329116821289,51.6,65.6
2025-08-17_21-46-27,8.213714599609375,51.6,65.2
2025-08-17_21-46-28,8.21286392211914,51.6,64.3
2025-08-17_21-46-29,8.212623596191406,51.6,63.0
2025-08-17_21-46-30,8.209774017333984,51.6,63.2
2025-08-17_21-46-31,8.20913314819336,51.6,83.2
2025-08-17_21-46-32,8.209060668945312,51.6,81.1
2025-08-17_21-46-33,8.210121154785156,51.6,82.0
2025-08-17_21-46-34,8.209449768066406,51.6,79.2
2025-08-17_21-46-35,8.210479736328125,51.6,79.2
2025-08-17_21-46-36,8.21023941040039,51.6,81.6
2025-08-17_21-46-37,7.013572692871094,44.1,27.7
